Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,MAE,Subject,Filename
14,14,155,106,49,11.07,68.39,31.61,00:00:56.000,00:00:40.000,00:00:16.000,00:00:00.380,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,266.1,s1,RQ1_tobii_form_density_high_postprocessed.csv
6,5,32,19,13,5.33,59.38,40.62,00:00:12.000,00:00:07.000,00:00:05.000,00:00:00.370,00:00:00.380,83.33,0,0,0.0,0,0,0,0.0,492.46,s1,RQ1_tobii_form_density_low_postprocessed.csv
15,15,349,118,231,23.27,33.81,66.19,00:01:30.000,00:00:27.000,00:01:03.000,00:00:00.230,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,140.87,s1,RQ1_webgazer_form_density_high_postprocessed.csv
6,5,20,4,16,3.33,20.0,80.0,00:00:17.000,00:00:03.000,00:00:14.000,00:00:00.750,00:00:00.690,83.33,0,0,0.0,0,0,0,0.0,239.62,s1,RQ1_webgazer_form_density_low_postprocessed.csv
19,17,45,33,12,2.37,73.33,26.67,00:00:18.000,00:00:12.000,00:00:06.000,00:00:00.360,00:00:00.250,89.47,0,0,0.0,0,0,0,0.0,117.0,s1,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,60,29,31,3.16,48.33,51.67,00:00:23.000,00:00:10.000,00:00:13.000,00:00:00.340,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,66.26,s1,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,65,60,5,13.0,92.31,7.69,00:00:27.000,00:00:24.000,00:00:03.000,00:00:00.400,00:00:00.400,100.0,0,0,0.0,0,0,0,0.0,334.6,s1,RQ3_tobii_position_50cm_postprocessed.csv
5,5,33,25,8,6.6,75.76,24.24,00:00:22.000,00:00:17.000,00:00:05.000,00:00:00.680,00:00:00.380,100.0,0,0,0.0,0,0,0,0.0,137.38,s1,RQ3_tobii_position_70cm_postprocessed.csv
5,1,1,0,1,0.2,0.0,100.0,00:00:24.000,00:00:00.000,00:00:24.000,00:00:00.000,00:00:09.000,20.0,0,0,0.0,0,0,0,0.0,684.0,s1,RQ3_tobii_position_90cm_postprocessed.csv
5,5,142,105,37,28.4,73.94,26.06,00:00:38.000,00:00:25.000,00:00:13.000,00:00:00.240,00:00:00.300,100.0,0,0,0.0,0,0,0,0.0,52.43,s1,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,107,77,30,21.4,71.96,28.04,00:00:30.000,00:00:23.000,00:00:07.000,00:00:00.300,00:00:00.230,100.0,0,0,0.0,0,0,0,0.0,53.73,s1,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,78,39,39,15.6,50.0,50.0,00:00:24.000,00:00:10.000,00:00:14.000,00:00:00.260,00:00:00.330,100.0,0,0,0.0,0,0,0,0.0,72.97,s1,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,64,59,5,12.8,92.19,7.81,00:00:37.000,00:00:34.000,00:00:03.000,00:00:00.580,00:00:00.200,100.0,4,4,100.0,64,64,0,100.0,17.8,s1,RQ4_tobii_rpm_postprocessed.csv
5,5,151,74,77,30.2,49.01,50.99,00:00:41.000,00:00:21.000,00:00:20.000,00:00:00.280,00:00:00.260,100.0,4,4,100.0,151,105,46,69.54,100.78,s1,RQ4_webgazer_rpm_postprocessed.csv
15,15,77,54,23,5.13,70.13,29.87,00:00:41.000,00:00:31.000,00:00:10.000,00:00:00.570,00:00:00.350,100.0,0,0,0.0,0,0,0,0.0,84.57,s10,RQ1_tobii_form_density_high_postprocessed.csv
6,6,54,47,7,9.0,87.04,12.96,00:00:20.000,00:00:16.000,00:00:04.000,00:00:00.340,00:00:00.430,100.0,0,0,0.0,0,0,0,0.0,437.0,s10,RQ1_tobii_form_density_low_postprocessed.csv
15,15,242,7,235,16.13,2.89,97.11,00:01:16.000,00:00:02.000,00:01:14.000,00:00:00.290,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,363.98,s10,RQ1_webgazer_form_density_high_postprocessed.csv
