Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,MAE,Subject,Filename
15,15,148,146,2,9.87,98.65,1.35,00:01:20.000,00:01:15.000,00:00:05.000,00:00:00.510,00:00:00.000,100.0,0,0,0.0,0,0,0,0.0,305.5,s6,RQ1_tobii_form_density_high_postprocessed.csv
6,6,54,52,2,9.0,96.3,3.7,00:00:22.000,00:00:19.000,00:00:03.000,00:00:00.370,00:00:00.500,100.0,0,0,0.0,0,0,0,0.0,475.0,s6,RQ1_tobii_form_density_low_postprocessed.csv
15,15,321,142,179,21.4,44.24,55.76,00:01:31.000,00:00:41.000,00:00:50.000,00:00:00.290,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,122.17,s6,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,90,48,42,15.0,53.33,46.67,00:00:31.000,00:00:17.000,00:00:14.000,00:00:00.350,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,163.07,s6,RQ1_webgazer_form_density_low_postprocessed.csv
19,19,51,32,19,2.68,62.75,37.25,00:00:17.000,00:00:11.000,00:00:06.000,00:00:00.340,00:00:00.210,100.0,0,0,0.0,0,0,0,0.0,140.84,s6,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,109,49,60,5.74,44.95,55.05,00:00:47.000,00:00:16.000,00:00:31.000,00:00:00.330,00:00:00.470,100.0,0,0,0.0,0,0,0,0.0,55.75,s6,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,33,25,8,6.6,75.76,24.24,00:00:32.000,00:00:25.000,00:00:07.000,00:00:01.000,00:00:00.620,100.0,0,0,0.0,0,0,0,0.0,280.38,s6,RQ3_tobii_position_50cm_postprocessed.csv
5,5,34,28,6,6.8,82.35,17.65,00:00:22.000,00:00:18.000,00:00:04.000,00:00:00.640,00:00:00.500,100.0,0,0,0.0,0,0,0,0.0,375.83,s6,RQ3_tobii_position_70cm_postprocessed.csv
5,4,19,11,8,3.8,57.89,42.11,00:00:23.000,00:00:12.000,00:00:11.000,00:00:01.090,00:00:01.000,80.0,0,0,0.0,0,0,0,0.0,104.25,s6,RQ3_tobii_position_90cm_postprocessed.csv
5,5,113,78,35,22.6,69.03,30.97,00:00:31.000,00:00:21.000,00:00:10.000,00:00:00.270,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,65.29,s6,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,107,29,78,21.4,27.1,72.9,00:00:29.000,00:00:09.000,00:00:20.000,00:00:00.310,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,90.04,s6,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,72,41,31,14.4,56.94,43.06,00:00:25.000,00:00:12.000,00:00:13.000,00:00:00.290,00:00:00.420,100.0,0,0,0.0,0,0,0,0.0,94.71,s6,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,57,48,9,11.4,84.21,15.79,00:00:35.000,00:00:29.000,00:00:06.000,00:00:00.600,00:00:00.560,100.0,4,3,75.0,57,55,2,96.49,110.11,s6,RQ4_tobii_rpm_postprocessed.csv
5,5,202,42,160,40.4,20.79,79.21,00:01:02.000,00:00:13.000,00:00:49.000,00:00:00.310,00:00:00.290,100.0,4,1,25.0,202,145,57,71.78,89.07,s6,RQ4_webgazer_rpm_postprocessed.csv
