Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,Subject,Filename
15,15,105,80,25,7.0,76.19,23.81,00:00:51.000,00:00:36.000,00:00:15.000,00:00:00.450,00:00:00.520,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_tobii_form_density_high_postprocessed.csv
6,6,45,42,3,7.5,93.33,6.67,00:00:18.000,00:00:15.000,00:00:03.000,00:00:00.360,00:00:00.670,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_tobii_form_density_low_postprocessed.csv
15,15,354,121,233,23.6,34.18,65.82,00:01:16.000,00:00:19.000,00:00:57.000,00:00:00.160,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,110,51,59,18.33,46.36,53.64,00:00:30.000,00:00:15.000,00:00:15.000,00:00:00.290,00:00:00.250,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_webgazer_form_density_low_postprocessed.csv
18,16,39,29,10,2.17,74.36,25.64,00:00:14.000,00:00:10.000,00:00:04.000,00:00:00.340,00:00:00.100,88.89,0,0,0.0,0,0,0,0.0,s9,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,102,53,49,5.37,51.96,48.04,00:00:31.000,00:00:15.000,00:00:16.000,00:00:00.280,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,s9,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,4,19,18,1,3.8,94.74,5.26,00:00:18.000,00:00:15.000,00:00:03.000,00:00:00.830,00:00:02.000,80.0,0,0,0.0,0,0,0,0.0,s9,RQ3_tobii_position_50cm_postprocessed.csv
5,5,17,13,4,3.4,76.47,23.53,00:00:17.000,00:00:12.000,00:00:05.000,00:00:00.920,00:00:00.750,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_tobii_position_70cm_postprocessed.csv
5,4,7,2,5,1.4,28.57,71.43,00:00:14.000,00:00:03.000,00:00:11.000,00:00:01.500,00:00:01.600,80.0,0,0,0.0,0,0,0,0.0,s9,RQ3_tobii_position_90cm_postprocessed.csv
5,5,59,33,26,11.8,55.93,44.07,00:00:23.000,00:00:11.000,00:00:12.000,00:00:00.330,00:00:00.460,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,103,38,65,20.6,36.89,63.11,00:00:25.000,00:00:10.000,00:00:15.000,00:00:00.260,00:00:00.230,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,68,16,52,13.6,23.53,76.47,00:00:15.000,00:00:03.000,00:00:12.000,00:00:00.190,00:00:00.230,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_webgazer_position_90cm_postprocessed.csv
5,4,55,14,41,11.0,25.45,74.55,00:00:34.000,00:00:19.000,00:00:15.000,00:00:01.360,00:00:00.340,80.0,5,4,80.0,55,54,1,98.18,s9,RQ4_tobii_rpm_postprocessed.csv
5,5,163,19,144,32.6,11.66,88.34,00:00:42.000,00:00:05.000,00:00:37.000,00:00:00.260,00:00:00.260,100.0,4,4,100.0,163,65,98,39.88,s9,RQ4_webgazer_rpm_postprocessed.csv
