Device/Software (TC Scenario),% Matching Fixation,Device/Software,% EIF,Device/Software (Distance),% MF,% EITOF,% MTOF
Infrared/Tobii (TC1),81.3475,,,,,,
Infrared/Tobii (TC2),77.71428571428571,,,,,,
Webcam/Webgazer.js (TC1),34.870000000000005,,,,,,
Webcam/Webgazer.js (TC2),15.84375,,,,,,
,68.555,Infrared/Tobii,,,,,
,38.97,Webcam/Webgazer.js,,,,,
,,Infrared/Tobii,91.99375,,,,
,,Webcam/Webgazer.js,98.68375,,,,
,,,97.5,Infrared/Tobii (50cm),,,
,,,95.0,Infrared/Tobii (70cm),,,
,,,50.0,Infrared/Tobii (90cm),,,
,,,97.5,Webcam/Webgazer.js (50cm),,,
,,,100.0,Webcam/Webgazer.js (70cm),,,
,,,100.0,Webcam/Webgazer.js (90cm),,,
,,,,Infrared/Tobii (50cm),76.185,,
,,,,Infrared/Tobii (70cm),73.20375,,
,,,,Infrared/Tobii (90cm),28.85875,,
,,,,Webcam/Webgazer.js (50cm),19.71875,,
,,,,Webcam/Webgazer.js (70cm),20.56875,,
,,,,Webcam/Webgazer.js (90cm),13.81125,,
,,Infrared/Tobii,,,,91.25,
,,Webcam/Webgazer.js,,,,87.5,
,,Infrared/Tobii,,,,,96.625
,,Webcam/Webgazer.js,,,,,56.948750000000004
