Device/Software,TC,% MF,MED (px),% EIF,% EITOF,% MTOF
Infrared/Tobii,TC1,86.3,17.54,,,
Infrared/Tobii,TC2,87.52,4.11,,,
Infrared/Tobii,TC3,65.29,10.5,95.22,,
Infrared/Tobii,TC4,78.48,12.25,100.0,,
Infrared/Tobii,TC5,73.65,13.53,92.0,,
Infrared/Tobii,TC6,23.39,28.85,44.44,,
Infrared/Tobii,TC7,,,,95.0,96.54
Webcam/Webgazer.js,TC1,31.36,53.58,,,
Webcam/Webgazer.js,TC2,31.46,20.65,,,
Webcam/Webgazer.js,TC3,32.88,31.32,98.92,,
Webcam/Webgazer.js,TC4,36.3,39.02,100.0,,
Webcam/Webgazer.js,TC5,34.63,37.77,100.0,,
Webcam/Webgazer.js,TC6,32.17,48.2,100.0,,
Webcam/Webgazer.js,TC7,,,,70.0,58.37
